Steccas,ProtonClient
Belarc,Advisor
Wondershare,Cropro
Microsoft,VCRedist,2008,x64
MongoDB,MongoDBCLI
Snijderlab,Annotator
CrystalRich,Zentimo
JesseDuffield,lazygit
Deta,Space,CLI
GiantPinkRobots,Varia
OrpheusTechnologyLtd,ProWritingAid,OfficeAddIn
Tencent,QQPlayer
wherewhere,APKInstaller,Classic
Drumstick,dmidiplayer
LukasBach,Yana
Actifile,ActifileAgent
Microsoft,Sysinternals,Sysmon
Rowley,CrossWorks
LGUG2Z,komokana
the-sz,Bedford
rcmaehl,WhyNotWin11
SanfordLP,DYMOConnect
BellSoft,LibericaJRE,15
GreenfootTeam,Greenfoot
Elcomsoft,IMPassword
FujitsuClientComputingLimited,DeskUpdate
Microsoft,VisualStudio,2022,BuildTools
Bosyun,PixsoLocalFont
RiotGames,LeagueOfLegends,NA
quick-lint,quick-lint-js
KalinSetterbergDataAB,Marathon
Suwayomi,Tachidesk-VaadinUI
Poly,PlantronicsHub
MichaelTippach,ASIO4ALL
File-New-Project,EarTrumpet
NoMoreFood,PuTTY-CAC
JanFiala,PSpad,x64
Trivia-Bot-Apps,trivia-desktop
Codemao,TurtleEditor
advancedfx,HLAE
WHTA,Tamara
NirSoft,VideoCacheView
Exploitox,CheckIP
RIDI,Ridibooks
erickutcher,thumbsviewer
Anaconda,Miniconda3
Microsoft,DevProxy
Tencent,WeSing
Japplis,Dictaphone
SquareCloud,CLI
Microsoft,winfile
blacktop,ipsw
DelugeTeam,DelugeBeta
TeamRadarr,Radarr
GiulioSorrentino,Backgrounds
Bedrock-OSS,regolith
Piriform,Recuva
JeremyHu,Dust3D
Timeraa,PreMiD
Genivia,ugrep
ApacheFriends,Xampp,8,2
Ergosoft,ErgoFAKT_V5
Insta360,Link,Controller
Databricks,DatabricksCLI
Reckel,Cantara
AutonomousSoftware,MetronomeWallet
Sidero,talosctl
RiotGames,LeagueOfLegends,VN2
DMM,GamePlayer
HamsterBase,HamsterBase,Server
AntibodySoftware,BulkImageDownloader
Boxstar,DeepVocal
Microsoft,VisualStudio,2022,Enterprise,Preview
ryanSn,winMoji
KDE,kmymoney
Plex,PlexMediaPlayer
Ombrelin,PlexRichPresence
KDE,Falkon
Timber1900,WebDL
OVRASTeam,OpenVR-AdvancedSettings
Wiimm,ISO
bitbeans,SimpleDNSCrypt
zufuliu,notepad2
spacedrive,Spacedrive
CodeF0x,violin
Indent,Access
Ovenoboyo,Moosync
Paludour,Barcode2Win
NHNCorporation,Dooray!Drive
robinovitch61,wander
MinIO,Client
amrdeveloper,gitql
floating,frame
Bitnami,phpBB
Microsoft,SQLServerManagementStudio
Oracle,JDK,21
ChilliBits,ComposeGenerator
MapMapTeam,MapMap
CodecGuide,K-LiteCodecPack,Mega
LeadDeskLtd,LeadDesk
junegunn,fzf
sigoden,opscan
Sentinel,SentinelCLI
DrobinskiMaciejStrongRecovery,MultiExtractor
SoftMaker,FreePDF,2022
RiotGames,LeagueOfLegends,EUW
bdash-app,bdash
LiteratureandLatte,Scrivener
long-woo,12306-electron
fjsoft,MyPhoneExplorer
AllroundAutomations,PLSQLDeveloper
terreng,SimpleWebServer
GlobalMarineNet,IridiumSurvey
RFIDfans,PCR532
Japplis,Watch
OpenGMK,GM8Decompiler,GNU
AdGuard,AdGuard,Nightly
Redisant,RedisAssistant
Dell,CommandUpdate
rsjaffe,MIDI2LR
WixToolset,AdditionalTools
RiotGames,LeagueOfLegends,PBE
KOG,Elsworld,es
the-sz,Yale
ByteDance,CapCut
Azul,Zulu,18,JDK
Initex,Proxifier
Seewo,SeewoPincoGroup
TeamSpeakSystems,TeamSpeakClient
XiboSignage,XiboPlayer
Splawik,pytigon
WisdomSoftware,MotionStudio
BytecodeAlliance,Wasmtime,Portable
Berkeley,BYOB
Tencent,TranSmart
zokugun,MrCode
NirSoft,WakeMeOnLan
Datadog,dd-trace-dotnet
Mozilla,Firefox,DeveloperEdition
Kitware,ParaView,MPI
LoftLabs,DevPod
D4koon,WhatsappTray
MMSOFTDesign,Pulseway
CHIRPSoftware,CHIRP-next
Adobe,Acrobat,Reader,64-bit
Intel,IntelDriverAndSupportAssistant
CrystalDewWorld,CrystalDiskInfo,ShizukuEdition
Creosys,OBDAutoDoctor
Microsoft,DotNet,DesktopRuntime,3_1
Tenpi,Waifu2xGUI
Gluon,SceneBuilder,18
SublimeHQ,SublimeMerge,Portable
Microsoft,Git
WiseCleaner,WiseCare365
SM5BSZ,Linrad-dll
Yubico,Authenticator
LSoftTechnologies,ActiveBootDisk
nkdAgility,AzureDevOpsMigrationTools
goreleaser,goreleaser-pro
dandavison,delta
ClipTeam,ClipCC
GitHub,ClassroomAssistant
Xmake-io,Xmake
Whop42,LinuxConvert
SoftMaker,FlexiPDF,2022
SnoopWpf,Snoop
hikari-no-yume,touchHLE
vatis-project,vAtis
AndreasWascher,RepoZ
monsterkodi,kappo
seerge,g-helper
MarkGriffiths,NetTime
ChungZH,notepanda
RaceCore24,Ignition
NamecoinProject,Electrum-NMC
IObit,Uninstaller
ChemTableSoftware,AutorunOrganizer
Microstockr,Desktopapp
Verizon,OneTalk
Glodon,CADReader
FelipeEFdeCastro,Klavaro
GNU,Nano
kobaltlabInc,HashPhotosTransfer
PopcornTime,Popcorn-Time
gitthermal,thermal
AMD,OCAT
REINERSCT,cyberJackDriverPackage
RavensburgerAG,tiptoiManager
Elcomsoft,ProactivePasswordAuditor
JetBrains,FleetLauncher,Preview
Motorola,MobileDrivers
Seewo,EasiCapsule
SatisfactoryModding,SatisfactoryModManager
SoftFever,OrcaSlicer
BenHollis,PNGGauntlet
Ximalaya,XimalayaLive
Wingware,WingIDE101
jbreland,autoflac
Wiesemann-Theis,Com-Legacy
Epsitec,Colobot
Robware,RVTools
yuma14,ShutdownCountdown
115,115Chrome
CPUID,CPU-Z,GBT
Python,Python,3,2
AHS,TohokuKiritan
charmbracelet,pop
Proton,ProtonMailBridge
HBK,TEDS-Editor
ChatterinoTeam,Chatterino
winpython,winpython-dot
kosay,kubetui
Samsung,UserManual,Q1-WinVista
Autodesk,DesktopApp
IPU,coolpack
Seagate,SeaTools,Legacy
Foxit,FoxitReader
Japplis,M2RepoCleaner
LSoftTechnologies,ActiveISOBurner
Smile,TextExpander
AppiumDevelopers,AppiumInspector
code52,Carnac
MariaDB,Server
GoCD,Server
poetries,yuqing-monitor-electron
LinwoodCloud,Butterfly
ajeetdsouza,zoxide
Foxit,PhantomPDF
ManaManaIoT,DeviceManagementAssistant
FrancisBanyikwa,SiriKali
Microsoft,VCRedist,2022,arm64
Microsoft,Teams,Preview
NathanMoinvaziri,ExtractNow
ServerData,Elevate
Danilov,Soundscape
PavelYosifovich,TotalRegistry
GnuWin32,GetText
JoachimEibl,KDiff3
Versa,MagiCut
NirSoft,WhoisThisDomain
Trufflesuite,Ganache
flyingpie,windows-terminal-quake,prerelease
JetBrains,ReSharper,EAP
the-sz,PreyHelper
softsyst,QIRX4
LanguageTool,LanguageToolforDesktop
FlaxEngine,Flax
linepod,linepodlauncher
YingYang48,VsHex
KuGou,gejigeji
Microsoft,Azure,IoTExplorer
JasonWei512,code-radio-cli
GorillaDevs,GDLauncher
PostgreSQL,pgAdmin
Outertech,GetDiz
CoolPlayLin,FastGithub
Steunebrink,CHKCPU
trinsic,cli
CryptoTrust,OnlyKeyApp
Japplis,SheetStats
GeoGebra,Classic
Perforce,P4V
KarimHossenbux,moonitor
Azul,Zulu,7,JDK
glzr-io,glazewm
HydrologicEngineeringCenter,HEC-SSP
ByteDance,Douyin
wagoodman,dive
haskell,cabal
Apple,Safari
Alibaba,DingTalk,Lite
SublimeHQ,SublimeMerge
UnlimitedBacon,STL-Thumb
zxch3n,PomodoroLogger
BinaryMark,TextToMp3Converter
BartoszCichecki,LenovoLegionToolkit
the-sz,CheckSum
OlavSortlandThoresen,ScreenCloud
BriceLambson,ImageResizerforWindows
JetBrains,WebStorm,EAP
Sensirion,Viewer
HydrologicEngineeringCenter,HEC-DSSVue
Proton,ProtonDrive
f4exb,sdrangel
SamyGO,ShellEnable
NetEase,IdentityV
Bitvise,SSH,Client
Streetwriters,Notesnook
RubyInstallerTeam,RubyWithDevKit,3,1
Gitea,tea
tp7,Sushi
JFrog,Cli
quotient-im,Quaternion
BellSoft,LibericaJRE,13,Full
HermannSchinagl,ln
LiErHeXun,Quicker
JanDeDobbeleer,OhMyPosh
Trados,TradosStudio,2022
ayoisaiah,focus
LX-Systems,WinMute
RProject,R
Almico,SpeedFan
LutzRoeder,Netron
Git,MinGit,BusyBox
pizzaboxer,Bloxstrap
Microsoft,VCRedist,2012,x64
InsaneMatt,GameSaveManager
Microsoft,DotNet,HostingBundle,Preview
pbek,QOwnNotes
Oracle,JDK,18
Arm,ArmGnuToolchain
NagleCode,PacketSender
WinStep,Nexus
PenguinLabs,Cacher
hpjansson,Chafa
Microsoft,OneDrive,Insiders
Epsitec,PlanetBlupi
jazzdelightsme,WingetPathUpdater
Thunder,Thunder,Speed
mellobacon,scpterminal
Entropy6,XMeters
CPUID,CPU-Z,CM
willnewii,qiniuClient
DrewNaylor,guinget
SKCommunications,NateOn
Kingsoft,KDocs
HiBitSoftware,StartUpManager
Headsetapp,Headset
Couchbase,ServerEnterprise
Amazon,Corretto,19
EclipseAdoptium,Temurin,17,JDK
Tetrate,func-e
CarnegieMellonUniversity,Alice3
gokcehan,lf
NickeManarin,ScreenToGif
Mumble,Mumble,Client
Discord,Discord,Canary
buildpacks,pack
arrow2nd,tokumei-player-pp
StephanDilly,gitui
PolarGoose,ShowWhatProcessLocksFile
Python,Python,3,5
ProjectJupyter,JupyterLab
Ferdium,Ferdium,Nightly
Igoravl,TfsCmdlets
Microsoft,VisualStudio,2022,Community,Preview
vcync,modV
solemnwarning,rehex
JAMSoftware,UltraSearch
SylvainRougeaux,Echosync
DimisAIO,DindeGDPS
