number,title,user,created_at,updated_at,url
273219,New version: Raycast.Raycast version 0.26.1.0,UnownBot,2025-07-10T13:00:23Z,2025-07-13T21:49:53Z,https://github.com/microsoft/winget-pkgs/pull/273219
273165,New package: Bay12Games.DwarfFortressClassic version 51.13,DandelionSprout,2025-07-10T08:42:57Z,2025-07-12T01:37:05Z,https://github.com/microsoft/winget-pkgs/pull/273165
273119,New version: mindersec.minder 0.1.0,openssf-robot,2025-07-10T05:33:21Z,2025-07-12T10:48:38Z,https://github.com/microsoft/winget-pkgs/pull/273119
273093,Automatic update of TaxDomeLLC.TaxDome from 3.87.0.37086 to 3.88.0.13364,wingetbot,2025-07-10T01:54:31Z,2025-07-12T04:16:26Z,https://github.com/microsoft/winget-pkgs/pull/273093
273088,Automatic update of Objective.Trapeze from 25.6.26580.0 to 25.7.13860.0,wingetbot,2025-07-10T01:27:47Z,2025-07-14T00:28:13Z,https://github.com/microsoft/winget-pkgs/pull/273088
273080,Automatic update of Microsoft.PowerBIReportServer from 1.23.9274.14406 to 1.23.9316.13987,wingetbot,2025-07-10T00:44:49Z,2025-07-14T00:28:12Z,https://github.com/microsoft/winget-pkgs/pull/273080
272832,New version: Riri.WebSearchShortcut version 0.0.3.0,Daydreamer-riri,2025-07-09T18:10:19Z,2025-07-14T03:43:45Z,https://github.com/microsoft/winget-pkgs/pull/272832
272801,New package: LeoFarias.FVM version 3.2.1,loic-peron-inetum-public,2025-07-09T15:09:46Z,2025-07-11T01:15:34Z,https://github.com/microsoft/winget-pkgs/pull/272801
272787,New version: Raycast.Raycast version 0.26.0.0,UnownBot,2025-07-09T13:43:32Z,2025-07-09T18:12:06Z,https://github.com/microsoft/winget-pkgs/pull/272787
272630,Automatic update of VMware.IntelligentHub from 24.10.10.0 to 24.10.11.0,wingetbot,2025-07-09T00:57:16Z,2025-07-09T15:12:54Z,https://github.com/microsoft/winget-pkgs/pull/272630
272592,Automatic update of IvanCharapanau.Harbor 0.3.12,wingetbot,2025-07-08T21:47:17Z,2025-07-08T22:02:29Z,https://github.com/microsoft/winget-pkgs/pull/272592
272117,New version: LiErHeXun.Quicker version 1.44.22.0,spectopo,2025-07-08T01:39:00Z,2025-07-11T23:25:05Z,https://github.com/microsoft/winget-pkgs/pull/272117
272039,"Automatic update of IDMComputerSolutions,Inc.UltraEdit from 32.0.0.24 to 32.0.0.32",wingetbot,2025-07-07T20:59:45Z,2025-07-08T20:13:26Z,https://github.com/microsoft/winget-pkgs/pull/272039
271710,New version: sunfish-shogi.shogihome version 1.24.0,damn-good-b0t,2025-07-06T20:22:27Z,2025-07-12T15:47:14Z,https://github.com/microsoft/winget-pkgs/pull/271710
